"Month/year","CPI % change over 12 months","CPI: rent % change over 12 months"
"Dec 2022","6.4","8.4"
"Jan 2023","6.3","8.6"
"Feb 2023","6","8.8"
"Mar 2023","5","8.8"
"Apr 2023","5","8.8"
"May 2023","4.1","8.7"
"June 2023","3.1","8.3"
"July 2023","3.3","8"
"Aug 2023","3.7","7.8"
"Sep 2023","3.7","7.4"
"Oct 2023","3.2","7.2"
"Nov 2023","3.1","6.9"
"Dec 2023","3.3","6.5"
"Jan 2024","3.1","6.1"
"Feb 2024","3.2","5.8"
"Mar 2024","3.5","5.7"
